time,V(vin),V(vo1),V(vs),V(vout)
9.574410714659573e-04,-3.289999e-02,3.153238e+00,-5.097986e-02,1.177629e-01
9.616263393231001e-04,-3.006243e-02,3.135284e+00,-4.640533e-02,1.003479e-01
9.658116071802428e-04,-2.713057e-02,3.116961e+00,-4.168407e-02,8.259285e-02
9.699968750373856e-04,-2.410441e-02,3.098268e+00,-3.681611e-02,6.449766e-02
9.773210937873856e-04,-1.868788e-02,3.065329e+00,-2.811493e-02,3.267031e-02
9.846453125373854e-04,-1.311401e-02,3.032070e+00,-1.917576e-02,6.045384e-04
9.919695312873853e-04,-7.429952e-03,2.998774e+00,-1.007427e-02,-3.142258e-02
9.947597098588139e-04,-5.238904e-03,2.986100e+00,-6.569619e-03,-4.359274e-02
9.975498884302423e-04,-3.048245e-03,2.973516e+00,-3.067650e-03,-5.566437e-02
1.000340067001671e-03,-8.579755e-04,2.961023e+00,4.316432e-04,-6.763745e-02
1.003130245573099e-03,1.331905e-03,2.948619e+00,3.928260e-03,-7.951199e-02
1.005920424144528e-03,3.521397e-03,2.936306e+00,7.422199e-03,-9.128800e-02
1.008710602715956e-03,5.710500e-03,2.924083e+00,1.091346e-02,-1.029655e-01
1.011500781287385e-03,7.899214e-03,2.911950e+00,1.440205e-02,-1.145444e-01
1.016383593787385e-03,1.172671e-02,2.890955e+00,2.049753e-02,-1.345452e-01
1.021266406287385e-03,1.547559e-02,2.870665e+00,2.646121e-02,-1.538372e-01
1.026149218787385e-03,1.914586e-02,2.851081e+00,3.229310e-02,-1.724204e-01
1.031032031287384e-03,2.273752e-02,2.832203e+00,3.799319e-02,-1.902949e-01
1.035914843787384e-03,2.625057e-02,2.814031e+00,4.356149e-02,-2.074606e-01
1.040797656287384e-03,2.968500e-02,2.796565e+00,4.899799e-02,-2.239176e-01
1.045680468787384e-03,3.304082e-02,2.779804e+00,5.430270e-02,-2.396658e-01
1.053353459858813e-03,3.809752e-02,2.755275e+00,6.227834e-02,-2.625946e-01
1.061026450930241e-03,4.270632e-02,2.733740e+00,6.952705e-02,-2.826744e-01
