Freq.,abs(V(vout)/V(vs))
1.16450217885232e+000,-2.23748697576288e+001
1.16484928795950e+000,-2.23719557628319e+001
1.16519650053126e+000,-2.23690419526957e+001
1.16554381659845e+000,-2.23661283271479e+001
1.16589123619190e+000,-2.23632148861165e+001
1.16623875934249e+000,-2.23603016295291e+001
1.16658638608108e+000,-2.23573885573136e+001
1.16693411643854e+000,-2.23544756693980e+001
1.16728195044577e+000,-2.23515629657100e+001
1.16762988813365e+000,-2.23486504461775e+001
1.16797792953310e+000,-2.23457381107286e+001
1.16832607467502e+000,-2.23428259592911e+001
1.16867432359034e+000,-2.23399139917930e+001
1.16902267630999e+000,-2.23370022081623e+001
1.16937113286492e+000,-2.23340906083271e+001
1.16971969328606e+000,-2.23311791922153e+001
1.17006835760440e+000,-2.23282679597550e+001
1.17041712585088e+000,-2.23253569108744e+001
1.17076599805650e+000,-2.23224460455015e+001
1.17111497425223e+000,-2.23195353635645e+001
1.17146405446908e+000,-2.23166248649915e+001
1.17181323873805e+000,-2.23137145497106e+001
1.17216252709016e+000,-2.23108044176502e+001
1.17251191955643e+000,-2.23078944687384e+001
1.17286141616790e+000,-2.23049847029034e+001
1.17321101695560e+000,-2.23020751200736e+001
1.17356072195060e+000,-2.22991657201772e+001
1.17391053118395e+000,-2.22962565031426e+001
1.17426044468672e+000,-2.22933474688980e+001
1.17461046248999e+000,-2.22904386173719e+001
1.17496058462486e+000,-2.22875299484926e+001
1.17531081112242e+000,-2.22846214621886e+001
1.17566114201378e+000,-2.22817131583882e+001
1.17601157733005e+000,-2.22788050370200e+001
1.17636211710237e+000,-2.22758970980123e+001
1.17671276136187e+000,-2.22729893412938e+001
1.17706351013969e+000,-2.22700817667928e+001
1.17741436346699e+000,-2.22671743744381e+001
1.17776532137493e+000,-2.22642671641581e+001
1.17811638389468e+000,-2.22613601358814e+001
1.17846755105743e+000,-2.22584532895366e+001
1.17881882289438e+000,-2.22555466250525e+001
1.17917019943670e+000,-2.22526401423576e+001
1.17952168071563e+000,-2.22497338413806e+001
1.17987326676238e+000,-2.22468277220503e+001
1.18022495760817e+000,-2.22439217842954e+001
1.18057675328425e+000,-2.22410160280445e+001
1.18092865382187e+000,-2.22381104532266e+001
